Wall time,Step,Value
1611059635.2757056,157300,-189.41403198242188
1611059740.2977152,158900,-187.34130859375
1611059746.5057058,159000,-187.35574340820312
1611059846.1667037,160500,-189.877685546875
1611059872.7597053,160900,-183.41006469726562
1611059981.9847052,162500,-191.68194580078125
1611059988.6467028,162600,-183.43826293945312
1611060136.1507046,164800,-190.38088989257812
1611060170.0272355,165300,-198.78802490234375
1611060202.4287586,165800,-184.91830444335938
1611060224.7477582,166100,-191.5616455078125
1611060258.9607582,166600,-184.964599609375
1611060279.9627566,166900,-190.69625854492188
1611060362.2947578,168100,-187.82284545898438
1611060418.0219429,168900,-193.64463806152344
1611060468.2954693,169600,-188.63473510742188
1611060519.9744678,170300,-190.3912353515625
1611060580.6554673,171200,-189.28114318847656
1611060607.4264677,171600,-183.7312774658203
1611060621.4314687,171800,-187.54583740234375
1611060635.6774669,172000,-186.18910217285156
1611060659.7774665,172300,-190.44461059570312
1611060708.190472,173000,-186.3487548828125
1611060773.872469,173900,-188.1109619140625
1611060849.0033453,174900,-191.2663116455078
1611060878.8953412,175300,-186.00169372558594
1611060894.1813395,175500,-199.5453338623047
1611060915.6433399,175800,-181.6422576904297
1611060957.2488635,176300,-197.64195251464844
1611060981.4914637,176600,-185.7914276123047
1611060989.4924607,176700,-181.71377563476562
1611061153.1064637,178700,-192.25311279296875
1611061216.5604618,179600,-189.0487060546875
1611061265.190463,180200,-193.1322479248047
1611061320.4241114,180900,-193.4617462158203
1611061328.9131112,181000,-193.2686767578125
1611061401.820176,181900,-198.3856201171875
1611061460.3986292,182600,-187.64016723632812
1611061632.926633,184700,-194.4892578125
1611061661.917628,185100,-196.52163696289062
1611061756.900631,186100,-200.30313110351562
1611061791.8006296,186500,-198.17144775390625
1611061861.4516318,187400,-204.98648071289062
1611061968.7506313,188700,-198.42343139648438
1611061991.5146298,189000,-199.0341796875
1611062037.7286289,189600,-196.53172302246094
1611062052.6416302,189800,-195.1866455078125
1611062326.752033,193200,-192.56748962402344
1611062371.3960342,193800,-200.67160034179688
1611062512.2940905,195500,-198.23062133789062
1611062617.8620918,196500,-202.4920654296875
1611062642.7980874,196800,-200.62013244628906
1611062659.2680883,197000,-202.3791046142578
1611062799.2206645,198800,-195.27664184570312
1611062924.902247,200200,-197.16934204101562
1611062938.6612453,200400,-197.04324340820312
1611063084.1673083,202200,-197.38967895507812
1611063114.297308,202600,-200.84286499023438
1611063173.6433094,203400,-201.73733520507812
1611063307.110831,205100,-200.5111083984375
1611063353.1698308,205700,-205.77854919433594
1611063543.2628312,208100,-203.30126953125
1611063640.7378368,209400,-200.53140258789062
1611063662.5968306,209700,-203.04055786132812
1611063669.6578317,209800,-204.83779907226562
1611063685.135832,210000,-191.32235717773438
1611063706.5738366,210200,-202.5076141357422
1611063736.1298323,210600,-202.7362060546875
1611063765.9408348,211000,-210.68478393554688
1611063819.4568334,211700,-201.62234497070312
1611063941.7989016,213200,-202.4791259765625
1611064201.3369048,216600,-207.15997314453125
1611064230.764899,217000,-203.09567260742188
1611064281.4169002,217700,-194.75274658203125
1611064353.7858992,218600,-206.01821899414062
1611064444.3139007,219800,-199.63336181640625
1611064543.6584747,220800,-206.5262451171875
